Banana Splits           d By Herb
Business FactorTable    d By Jon
S B                     c Son of a Bitch (or is it SOB)
S- bend                  - a plumbing term
S- box                   b on soap dispenser in Royal Oak, Langstone
Sabena Bus              b   found at Brussels Airport
Sable Black             -
Sable Brush             - artists use brushes made of sable hair.
Sacks Bags          q Sacks and bags    From the yellow pages:
Sacramental Bread       -
Sacre Bleu              f haw he haw
Sacred BirthRight       -
Sacred Building         -
Sacred Bull             - Mate of Holy Cow ( Hilma's definition )
Sad Blue          q Sad and Blue
Sad Bloke               n A character in Spitting Image
Saddle Back             - type of whale? Male Harp-seal. Hooded crow. sort of goose.....
Saddle Bag              - For putting on a horse or bicycle
Saddle Blanket          -
Sadistic Bastard        x
Sadistic Bedwetter      x
Sadistic Bigamist       x
SadoMasochistic Bondage x
Safe Bet                -
Safe Blower             -
Safe Bonk               s Bonking with a Bonking Bag
Safe Breaker            -
Safety  Board         q Safety on Board - Safety Instructions on a BA Boeing 737
Safety Bag              - like a Security Bag
Safety Barrier          -
Safety Belt             -
Safety Blanket          - for people who were too close to chip pan fires
Safety Bolt             -
Safeways Bag            - a plastic shopping bag
Sag Bhuna               - Indian dish with spinach
Saggy Bloomers          -
Saggy Bollocks          -
Saggy Boobs             -
Saggy Breasts           -
Sail Bag                -
Sail Board              -
Sail Boat               -
Sailor Boy              -
Sains Burys             c a bit of a cheat
Sainsbury's Bag         -
Sainsbury's Bubbly      - Prize in PSC Treasure Hunt - Which Herb won!
Salad Bar               -
Salad Bowl              -
Salami Baps
Salary Bonus            - now extinct
Sale Bargain            -
Sales Book              -
Sales Branch            - from WHATIS
Sales Brochure          - (Herb 2005/08/01 - from search S*_B*.* on ThinkPad
Saline Bag              -
Salisbury's Bags        n A shop
Sally Barker            n
Sally Bartram           n see Jon for who this is
Sally Bash              - to do with Salvation Army
Sally Bowles            n from Coronation Street
Sally Brook             n
Sally Burton            n
Salmon Bisque           -
Salomon Bag             b
Salomon Boots           b
Saloon Bar              -
Saloon Brawl            - A fight in a Saloon Bar
Salt Bag                c the little blue bag in Salt'n'Shake crisps
Salt Basin              -
Salt Beef               -
Salted Biscuit
Salted Brisket          -
Salted Butter           -
Saltim Bocca            f Italian food "Jump in the Mouth"
Salty Bacon             -
Salubrious Brothel      -
Sam Brown               n
Sample Bottle           -
Sampled Beat            -
Samuel Becket           n
San Benedetto           b Italian fizzy drink company - Tropical fruit's nice
Sanctimonious Bastard   x
Sand Bag                -
Sand Bagger             -
Sand Bank               -
Sand Bar                -
Sand Beds               -
Sand Berm               f Something German ?
Sand Blast              -
Sand Bowl               -
Sand Boy                -
Sand Bucket             -
Sand Buggy              -
Sand Bunker             -
Sanding Block           -
Sandown Bay             p Where we stayed before cycling round IOW
Sandpipers Beak
Sandpipers Bill
Sandra Bell             n
Sandra Bullock          n Actress 2006/12/20 Herb
Sandstone Block         c From which Sandstone Bricks are cut, for Sandstone Buildings.
Sandstone Brick         -
Sandstone Buildings     -
Sandwich Bag            -
Sandwich Bar            -
Sandwich Board          - for walking advertising
Sandwich Box            -
Sandwich Bread          - special sliced bread... but NOT buttered on the inside!
Sandy Balls             - a holiday resort, believe it or not
Sandy Bay               -
Sandy Beach             -
Sandy Bottom            -
Sanjay Bhatt            n 2006/11/22 colleague on Debenhams project
Santa Barbara           p
Santa's Bag             - 2006/12/19 Where the pressies are put
Sapphire Blue           -
Sapphire Bracelet       -
Sapphire Brooch         -
Sarah Bernhardt         n
Sarah Booth             n Works in ESDP, UKIIS
Sarah Brightman         n
Sarah Brown             n Author of Sainsbury's vegetarian cookbook
Sarah Burdett           n Girl friend of Ralph Buckley, stayed at 62 Belmont St
Sarcastic Bastard       -
Sarcastic Bitch         -
Sarcastic Bugger        x
Satellite Bonanza       - Offer in Fareham TV shop - week of May20th.
Satellite Broadcasting  -
Satin Basque            -
Satin Bustier           -
Satsuma Blossom         -
Saturday Bedtime        -
Saturday Bonk           x See also Sunday Bonk, Sponsored Bonk
Saturday Breakfast      - used to be Scrambled Eggs cooked by dad
Saturday Brunch         - eaten less often than Sunday Brunch
Sauce Bearnaise         - ow ze French say "Bernies sorse" (a la Pompey)
Sauce Bechamel          -
Sauce Boat              -
Sauce Bottle            -
Saucy Bird              -
Saucy Bugger            x
Sauf Bus                f From Ste. Maxime - where only buses are allowed
Sausage Beans         c Sausage and Beans - my favourite
Sausage Bake            - a form of hot pot served by North Harbour cafeteria
Sausage Baps
Sausage Barbeque        -
Sausage Biscuit         - American Breakfast from MacDonalds. Horribly greasy
Sauteed Bunny           c Jugged Hare?
Sauvignon Blanc         b
